"agency_cd"	"site_no"	"Date"	"Flow"	"Flow_cd"
"USGS"	"01509000"	1938-11-23	368	"A"
"USGS"	"01509000"	1938-11-24	320	"A"
"USGS"	"01509000"	1938-11-25	260	"A"
"USGS"	"01509000"	1938-11-26	245	"A"
"USGS"	"01509000"	1938-11-27	245	"A"
"USGS"	"01509000"	1938-11-28	250	"A"
"USGS"	"01509000"	1938-11-29	270	"A"
"USGS"	"01509000"	1938-11-30	279	"A"
"USGS"	"01509000"	1938-12-01	286	"A"
"USGS"	"01509000"	1938-12-02	225	"A"
"USGS"	"01509000"	1938-12-03	220	"A"
"USGS"	"01509000"	1938-12-04	532	"A"
"USGS"	"01509000"	1938-12-05	600	"A"
"USGS"	"01509000"	1938-12-06	1030	"A"
"USGS"	"01509000"	1938-12-07	1010	"A"
"USGS"	"01509000"	1938-12-08	752	"A"
"USGS"	"01509000"	1938-12-09	645	"A"
"USGS"	"01509000"	1938-12-10	1030	"A"
"USGS"	"01509000"	1938-12-11	1830	"A"
"USGS"	"01509000"	1938-12-12	1270	"A"
"USGS"	"01509000"	1938-12-13	907	"A"
"USGS"	"01509000"	1938-12-14	713	"A"
"USGS"	"01509000"	1938-12-15	583	"A"
"USGS"	"01509000"	1938-12-16	500	"A"
"USGS"	"01509000"	1938-12-17	510	"A"
"USGS"	"01509000"	1938-12-18	482	"A"
"USGS"	"01509000"	1938-12-19	438	"A"
"USGS"	"01509000"	1938-12-20	408	"A"
"USGS"	"01509000"	1938-12-21	379	"A"
"USGS"	"01509000"	1938-12-22	320	"A"
"USGS"	"01509000"	1938-12-23	290	"A"
"USGS"	"01509000"	1938-12-24	290	"A"
"USGS"	"01509000"	1938-12-25	270	"A"
"USGS"	"01509000"	1938-12-26	250	"A"
"USGS"	"01509000"	1938-12-27	250	"A"
"USGS"	"01509000"	1938-12-28	220	"A"
"USGS"	"01509000"	1938-12-29	205	"A"
"USGS"	"01509000"	1938-12-30	200	"A"
"USGS"	"01509000"	1938-12-31	195	"A"
"USGS"	"01509000"	1939-01-01	200	"A"
"USGS"	"01509000"	1939-01-02	220	"A"
"USGS"	"01509000"	1939-01-03	215	"A"
"USGS"	"01509000"	1939-01-04	205	"A"
"USGS"	"01509000"	1939-01-05	221	"A"
"USGS"	"01509000"	1939-01-06	427	"A"
"USGS"	"01509000"	1939-01-07	542	"A"
"USGS"	"01509000"	1939-01-08	507	"A"
"USGS"	"01509000"	1939-01-09	419	"A"
"USGS"	"01509000"	1939-01-10	495	"A"
"USGS"	"01509000"	1939-01-11	714	"A"
